area_num,area,date,mean_tmp,min_tmp,max_tmp,mean_td,mean_pha
114,wonju,2015-07-28,28.7,25.1,33,23.2,990.8
114,wonju,2015-07-29,26.8,24.5,29.5,24.4,990
114,wonju,2015-07-30,30,25.5,34.8,24.5,991.3
114,wonju,2015-07-31,29.7,26.1,35.4,24.2,992.1
114,wonju,2015-08-01,28.9,24.7,34.5,23.6,992.8
114,wonju,2015-08-02,26.9,23.8,29.7,24.2,993.1
114,wonju,2015-08-03,29.2,25,33.7,22.9,991.9
114,wonju,2015-08-04,28.8,23.1,33.8,22.2,990.1
114,wonju,2015-08-05,29.2,26.4,34.3,22.1,991.3
114,wonju,2015-08-06,30.1,25,35.9,23.6,994.7
114,wonju,2015-08-07,30.7,25.3,37,23.5,997.6
114,wonju,2015-08-08,28.2,23.8,36.9,23.3,996.3
114,wonju,2015-08-09,27.4,23.6,32.3,22.2,993.8
114,wonju,2015-08-10,26.9,23.9,30.9,22.4,992.4
114,wonju,2015-08-11,26.7,23.3,30.7,21.5,990.6
114,wonju,2015-08-12,27.2,22,32.8,20.6,987.5
114,wonju,2015-08-13,25.2,22,32.4,21.3,988
114,wonju,2015-08-14,26.4,21.5,32,20.3,988.9
114,wonju,2015-08-15,27.2,22.4,32.3,21.3,991
114,wonju,2015-08-16,24.6,21.6,31.1,21.3,990.8
114,wonju,2015-08-17,24.8,20.5,31.8,20.1,991.6
114,wonju,2015-08-18,26.8,20.8,32.7,19.8,995.4
114,wonju,2015-08-19,26.4,22.5,31.1,19.9,996.2
114,wonju,2015-08-20,25.7,22.7,31.4,21.7,992.4
114,wonju,2015-08-21,25.3,22.3,30.1,21.5,987.6
114,wonju,2015-08-22,25.7,22.1,30.3,20.6,988.6
114,wonju,2015-08-23,26.2,21.8,31.7,20.3,990.1
114,wonju,2015-08-24,26.5,22.4,32.9,19,990.4
114,wonju,2015-08-25,21.7,19.6,24.9,18.6,984.1
114,wonju,2015-08-26,22.4,19.2,26.6,16.4,987.9
114,wonju,2015-08-27,23.6,19.7,28.7,16.4,989.6
